N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
16000064,0,2,393,3,2,3,2
17600064,0,3,393,3,2,3,2
19200064,0,3,392,4,2,4,2
20800064,0,3,393,4,2,4,2
22400064,0,4,392,4,2,4,2
24000064,0,3,393,4,2,5,2
25600064,0,5,393,4,2,4,2
27200064,0,3,392,4,2,5,2
28800064,0,3,393,5,2,6,2
30400064,0,4,393,5,2,4,2
32000064,0,4,392,5,2,4,2
33600064,0,10,8206,11,8206,10,8206
35200064,0,10,8596,11,8596,12,8596
36800064,0,11,8987,12,8987,13,8987
38400064,0,11,9378,13,9378,12,9378
40000064,0,12,9768,12,9768,13,9768
41600064,0,12,10159,13,10159,14,10159
43200064,0,12,10549,15,10549,14,10549
44800064,0,13,10940,13,10940,13,10940
46400064,0,13,11331,15,11331,14,11331
48000064,0,13,11721,15,11721,15,11721
49600064,0,14,12112,17,12112,16,12112
